event_id,event_ts,event_type,customer_id,first_name,last_name,email_masked,phone_masked,country_iso2,city,preferred_language,marketing_consent,loyalty_tier,user_tenure_days,days_since_last_purchase,past_12m_orders,avg_order_value_user,device_type,channel,campaign_id,coupon_applied,product_sku,product_name,product_category,product_subcategory,brand,is_fragile,list_price,discount_pct,unit_price,gift_persona,delivery_speed,delivery_window_hours,payment_type_masked,rating,returned_flag,shipping_country_iso2,currency,season
EVT-005180,2023-01-03 09:32:58.969573,view,C00904,Milan,Fernández,mila****1.e***@se,+46*******134,SE,Gothenburg,Sv,False,Gold,0,,0,,app,web,,False,FLO-1024,Tulip Mix 20x v5,Flowers,General,PetalWorks,True,79.76,0.1,71.78,Partner,standard,48,,,False,SE,EUR,regular
EVT-002844,2023-01-03 10:23:14.687197,view,C01330,Hiro,Müller,hiro****r.e***@in,+91*******971,IN,Mumbai,Ja,True,Gold,0,,0,,web,web,,False,CHO-1002,Truffle Assortment v3,Chocolate,General,SweetArrow,False,26.61,0.22,20.76,Parent,standard,48,,,False,IN,EUR,regular
EVT-005448,2023-01-03 13:52:12.821849,purchase,C01111,Lucas,Brown,luca****2.e***@mx,+52*******394,MX,Guadalajara,It,True,Silver,0,,0,,app,web,CMP-750,False,CAR-1044,Pop-up Heart Card v5,Cards,General,PaperMuse,False,8.54,0.0,8.54,Partner,standard,48,invoice,5,False,MX,EUR,regular
EVT-006584,2023-01-03 15:53:09.458871,add_to_cart,C00464,Olivia,Wang,oliv****2.e***@nl,+31*******918,NL,Utrecht,Fr,True,Silver,16,,0,,web,app,CMP-840,False,GIF-1075,Universal Gift Card $50 v1,GiftCards,GiftCard,Giftly,False,100.0,0.21,79.0,Partner,standard,48,,,False,NL,INR,regular
EVT-000376,2023-01-03 16:29:38.654417,purchase,C01820,Aarav,Müller,aara****2.e***@pl,+48*******672,PL,Katowice,Fr,True,Gold,0,,0,,web,web,,False,EXP-1051,Gourmet Dinner v2,Experiences,Dinner,Epicurea,False,131.77,0.1,118.59,Parent,express,24,card,5.0,False,PL,JPY,regular
EVT-004223,2023-01-03 18:50:29.887276,view,C00352,Amir,Jansen,amir****2.e***@es,+34*******842,ES,Madrid,Hi,True,Bronze,0,,0,,web,email,CMP-602,False,JEW-1025,Silver Pendant Heart v1,Jewelry,General,LunaGems,True,271.77,0.12,239.16,Partner,standard,48,,,False,ES,EUR,regular
EVT-006310,2023-01-04 00:19:56.298940,view,C00198,Emma,Smith,emma****2.e***@dk,+45*******620,DK,Aarhus,Zh,False,Silver,0,,0,,app,email,CMP-794,False,PER-1061,Midnight Bloom v2,Perfume,General,Scentora,True,70.35,0.21,55.58,Friend,standard,48,,,False,DK,EUR,regular
EVT-001484,2023-01-04 06:26:06.385412,view,C01026,Yui,Silva,yui.****1.e***@se,+46*******496,SE,Stockholm,De,False,Gold,163,,0,,app,email,,False,CHO-1002,Truffle Assortment v3,Chocolate,General,SweetArrow,False,26.61,0.16,22.35,Partner,standard,48,,,False,SE,NOK,regular
EVT-003736,2023-01-04 06:49:32.411059,add_to_cart,C01714,Sofía,Bakker,sofi****2.e***@au,+61*******308,AU,Sydney,It,True,Bronze,728,,0,,web,web,,False,CHO-1005,Dark Cocoa 85% v1,Chocolate,Dark,ChocoForge,False,28.95,0.2,23.16,Partner,standard,48,,,False,AU,SGD,regular
EVT-005466,2023-01-04 13:15:34.317039,purchase,C01589,Léa,Williams,lea.****2.e***@uk,+44*******384,GB,Edinburgh,It,True,Silver,0,,0,,app,web,CMP-912,False,PLU-1068,Giant Teddy Bear v4,Plush,General,CuddleNest,False,53.23,0.18,43.65,Partner,same_day,8,invoice,3,False,GB,EUR,regular
EVT-004643,2023-01-04 13:33:00.164808,purchase,C00093,Santiago,Silva,sant****2.e***@br,+55*******467,BR,Rio de Janeiro,Hi,True,Bronze,0,,0,,app,web,,False,FLO-1021,Tulip Mix 20x v2,Flowers,General,PetalWorks,True,48.03,0.02,47.07,Partner,standard,48,wallet,4,False,BR,BRL,regular
EVT-002226,2023-01-04 17:57:46.346540,add_to_cart,C01960,Santiago,Müller,sant****r.e***@uk,+44*******188,GB,Edinburgh,Fr,True,Gold,0,,0,,web,social,CMP-754,False,JEW-1029,Silver Pendant Heart v5,Jewelry,General,LunaGems,True,158.6,0.12,139.57,Self,standard,48,,,False,GB,CNY,regular
EVT-006668,2023-01-04 18:16:18.167540,wishlist,C01911,Giulia,Müller,giul****2.e***@sg,+65*******048,SG,Singapore,Sv,False,Silver,0,,0,,web,web,CMP-931,False,CHO-1011,Heart Box Pralines v2,Chocolate,General,VelvetCacao,False,30.54,0.04,29.32,Partner,standard,48,,,False,SG,EUR,regular
EVT-005462,2023-01-04 18:31:41.569522,purchase,C01205,Giulia,Jansen,giul****2.e***@za,+27*******084,ZA,Johannesburg,Sv,True,Bronze,0,,0,,app,web,CMP-158,False,JEW-1030,Couple Bracelet Set v1,Jewelry,General,AuroraLink,True,56.08,0.22,43.74,Friend,standard,48,wallet,4.0,False,ZA,MXN,regular
EVT-000751,2023-01-05 08:04:39.200360,view,C01830,Lucas,Müller,luca****r.e***@cn,+86*******424,CN,Guangzhou,Zh,True,Gold,327,,0,,app,web,,False,CAR-1043,Pop-up Heart Card v4,Cards,General,PaperMuse,False,4.58,0.12,4.03,Self,standard,48,,,False,CN,BRL,regular
EVT-005601,2023-01-05 18:54:54.100845,view,C00989,Wei,Smith,wei.****2.e***@ca,+18*******777,CA,Calgary,Da,True,Silver,436,,0,,web,web,,False,EXP-1045,Spa Day for Two v1,Experiences,Spa,ZenPulse,False,177.01,0.02,173.47,Friend,standard,48,,,False,CA,EUR,regular
EVT-008718,2023-01-05 22:07:22.100155,view,C00519,Hiro,García,hiro****a.e***@dk,+45*******088,DK,Copenhagen,Pl,True,Silver,0,,0,,app,email,,False,CAR-1041,Pop-up Heart Card v2,Cards,General,PaperMuse,False,11.41,0.14,9.81,Partner,express,24,,,False,DK,AUD,regular
EVT-007524,2023-01-06 04:01:46.663476,view,C00043,Olivia,Müller,oliv****2.e***@za,+27*******576,ZA,Johannesburg,En,False,Bronze,0,,0,,web,web,,False,PER-1062,Midnight Bloom v3,Perfume,General,Scentora,True,173.06,0.23,133.26,Partner,express,24,,,False,ZA,MXN,regular
EVT-000407,2023-01-06 07:51:00.334350,purchase,C01985,Hiro,Tanaka,hiro****1.e***@it,+39*******759,IT,Florence,Hi,False,Silver,180,,0,,app,web,CMP-872,True,CHO-1004,Truffle Assortment v5,Chocolate,General,SweetArrow,False,28.81,0.17,23.91,Parent,same_day,8,card,5,False,IT,SGD,regular
EVT-003029,2023-01-06 13:46:33.729279,purchase,C00175,Mateo,Santos,mate****1.e***@au,+61*******797,AU,Sydney,No,False,Gold,691,,0,,app,app,CMP-486,False,PLU-1071,Cupid Plush v2,Plush,General,HeartHaven,False,42.91,0.23,33.04,Self,express,24,card,3.0,False,AU,GBP,regular
EVT-004299,2023-01-06 19:04:47.521194,view,C00072,Hiro,Johnson,hiro****1.e***@no,+47*******963,NO,Bergen,Pl,True,Bronze,0,,0,,web,web,,False,PER-1062,Midnight Bloom v3,Perfume,General,Scentora,True,173.06,0.18,141.91,Partner,standard,48,,,False,NO,KRW,regular
EVT-000684,2023-01-06 19:54:21.258236,view,C00719,Sofía,Zhang,sofi****g.e***@jp,+81*******157,JP,Osaka,It,True,Bronze,364,,0,,web,email,,False,PLU-1073,Cupid Plush v4,Plush,General,HeartHaven,False,53.81,0.05,51.12,Partner,two_hour,2,,,False,JP,INR,regular
EVT-000066,2023-01-07 05:05:13.126300,purchase,C01571,Léa,Patel,lea.****2.e***@es,+34*******505,ES,Barcelona,It,True,Bronze,298,,0,,web,web,,False,JEW-1029,Silver Pendant Heart v5,Jewelry,General,LunaGems,True,158.6,0.07,147.5,Partner,same_day,8,card,4,False,ES,EUR,regular
EVT-002728,2023-01-07 05:33:16.303443,view,C01454,Noah,Rossi,noah****2.e***@se,+46*******341,SE,Stockholm,Pl,True,Gold,484,,0,,web,social,CMP-895,False,PLU-1074,Cupid Plush v5,Plush,General,HeartHaven,False,42.94,0.12,37.79,Partner,standard,48,,,False,SE,SGD,regular
EVT-009494,2023-01-07 08:44:48.184165,view,C01150,Emma,Patel,emma****2.e***@no,+47*******412,NO,Bergen,It,True,Bronze,0,,0,,app,web,CMP-500,False,CHO-1001,Truffle Assortment v2,Chocolate,General,SweetArrow,False,26.04,0.07,24.22,Self,standard,48,,,False,NO,USD,regular
EVT-007759,2023-01-07 15:15:36.848591,purchase,C01951,Milan,Lefevre,mila****e.e***@mx,+52*******863,MX,Guadalajara,Nl,False,Silver,0,,0,,web,web,,True,CAR-1038,Premium Foil Card v4,Cards,General,Ink&Love,False,10.58,0.0,10.58,Partner,same_day,8,wallet,2.0,False,MX,EUR,regular
EVT-009408,2023-01-07 22:46:32.775054,purchase,C00457,Isha,Smith,isha****1.e***@cn,+86*******344,CN,Shanghai,Ja,True,Bronze,141,,0,,app,web,,False,GIF-1080,Universal Gift Card $100 v1,GiftCards,GiftCard,Giftly,False,75.0,0.06,70.5,Parent,standard,48,wallet,3,False,CN,PLN,regular
EVT-000346,2023-01-07 23:55:19.578132,add_to_cart,C00702,Milan,Williams,mila****1.e***@za,+27*******821,ZA,Johannesburg,Da,True,Bronze,0,,0,,app,web,,False,CAR-1043,Pop-up Heart Card v4,Cards,General,PaperMuse,False,4.58,0.12,4.03,Parent,standard,48,,,False,ZA,EUR,regular
EVT-002872,2023-01-08 10:25:48.397471,view,C00548,Amir,Williams,amir****1.e***@ca,+17*******892,CA,Vancouver,Nl,True,Silver,188,,0,,web,web,CMP-394,False,EXP-1049,Spa Day for Two v5,Experiences,Spa,ZenPulse,False,67.45,0.06,63.4,Partner,standard,48,,,False,CA,EUR,regular
EVT-005211,2023-01-08 10:38:43.777596,view,C00848,Sofía,Silva,sofi****2.e***@fr,+33*******015,FR,Paris,Es,True,Gold,0,,0,,app,web,,False,JEW-1032,Couple Bracelet Set v3,Jewelry,General,AuroraLink,True,262.78,0.12,231.25,Partner,standard,48,,,False,FR,EUR,regular
EVT-002273,2023-01-08 18:31:58.345095,view,C00403,Liam,Bakker,liam****2.e***@jp,+81*******549,JP,Tokyo,Pt,True,Bronze,464,,0,,web,social,,False,JEW-1030,Couple Bracelet Set v1,Jewelry,General,AuroraLink,True,56.08,0.22,43.74,Friend,same_day,8,,,False,JP,GBP,regular
EVT-007512,2023-01-08 21:58:20.020891,add_to_cart,C01325,Sven,Müller,sven****2.e***@au,+61*******455,AU,Brisbane,Sv,True,Silver,0,,0,,web,web,CMP-982,False,PLU-1073,Cupid Plush v4,Plush,General,HeartHaven,False,53.81,0.07,50.04,Partner,express,24,,,False,AU,EUR,regular
EVT-007845,2023-01-09 10:52:21.286180,purchase,C00218,Hiro,Patel,hiro****1.e***@no,+47*******366,NO,Oslo,En,True,Silver,0,,0,,app,web,CMP-890,True,PLU-1065,Giant Teddy Bear v1,Plush,General,CuddleNest,False,18.72,0.12,16.47,Partner,standard,48,wallet,3.0,False,NO,AED,regular
EVT-002335,2023-01-09 17:22:31.911558,purchase,C00313,Isha,Bakker,isha****r.e***@za,+27*******872,ZA,Durban,De,False,Bronze,0,,0,,app,web,CMP-819,False,PER-1057,Eau de Romance v3,Perfume,General,AromaNova,True,107.43,0.0,107.43,Colleague,express,24,invoice,3,False,ZA,AED,regular
EVT-004900,2023-01-09 22:59:05.896110,view,C01358,Aarav,Wang,aara****2.e***@de,+49*******045,DE,Berlin,De,False,Gold,131,,0,,web,web,,False,CHO-1006,Dark Cocoa 85% v2,Chocolate,Dark,ChocoForge,False,15.91,0.03,15.43,Partner,standard,48,,,False,DE,CNY,regular
EVT-009935,2023-01-10 03:51:59.522055,add_to_cart,C00127,Mei,Schmidt,mei.****t.e***@pl,+48*******652,PL,Warsaw,En,True,Gold,0,,0,,web,web,,False,PLU-1067,Giant Teddy Bear v3,Plush,General,CuddleNest,False,27.3,0.08,25.12,Parent,standard,48,,,False,PL,CNY,regular
EVT-008117,2023-01-10 10:58:26.375424,view,C01201,Wei,Kowalski,wei.****2.e***@za,+27*******832,ZA,Durban,En,True,Gold,179,,0,,app,social,,False,CAR-1037,Premium Foil Card v3,Cards,General,Ink&Love,False,3.35,0.08,3.08,Partner,standard,48,,,False,ZA,BRL,regular
EVT-005678,2023-01-10 13:10:35.507218,view,C01365,Yui,Wang,yui.****g.e***@com,+14*******764,US,New York,Da,True,Silver,0,,0,,web,email,,False,CHO-1002,Truffle Assortment v3,Chocolate,General,SweetArrow,False,26.61,0.21,21.02,Partner,standard,48,,,False,US,GBP,regular
EVT-009020,2023-01-10 14:01:13.732565,view,C01955,Aarav,Johnson,aara****n.e***@es,+34*******886,ES,Madrid,Pt,True,Silver,0,,0,,web,email,CMP-436,False,GIF-1084,Universal Gift Card $100 v5,GiftCards,GiftCard,Giftly,False,25.0,0.05,23.75,Parent,standard,48,,,False,ES,JPY,regular
EVT-002813,2023-01-10 21:30:20.544905,add_to_cart,C00007,Giulia,Wang,giul****1.e***@cn,+86*******399,CN,Beijing,Es,False,Bronze,0,,0,,app,web,,False,FLO-1018,Red Roses 12x v4,Flowers,Roses,BloomCraft,True,47.32,0.17,39.28,Parent,same_day,8,,,False,CN,KRW,regular
EVT-000323,2023-01-11 02:48:21.219736,view,C00638,Isha,Silva,isha****a.e***@dk,+45*******417,DK,Copenhagen,No,True,Bronze,0,,0,,app,web,,False,PLU-1070,Cupid Plush v1,Plush,General,HeartHaven,False,53.35,0.02,52.28,Friend,standard,48,,,False,DK,EUR,regular
EVT-004428,2023-01-11 05:57:03.553352,view,C01172,Zoë,Santos,zoë.****s.e***@fr,+33*******064,FR,Bordeaux,Zh,True,Silver,446,,0,,web,web,,False,PLU-1065,Giant Teddy Bear v1,Plush,General,CuddleNest,False,18.72,0.08,17.22,Colleague,standard,48,,,False,FR,BRL,regular
EVT-004946,2023-01-11 07:57:40.594869,wishlist,C01121,Sven,Patel,sven****l.e***@fr,+33*******375,FR,Bordeaux,Fr,False,Bronze,0,,0,,app,web,,False,CAR-1037,Premium Foil Card v3,Cards,General,Ink&Love,False,3.35,0.25,2.51,Partner,standard,48,,,False,FR,GBP,regular
EVT-003175,2023-01-11 13:51:57.651211,view,C01027,Olivia,Zhang,oliv****1.e***@it,+39*******691,IT,Florence,Pl,True,Bronze,0,,0,,web,web,,False,PLU-1069,Giant Teddy Bear v5,Plush,General,CuddleNest,False,49.06,0.16,41.21,Friend,standard,48,,,False,IT,CAD,regular
EVT-003147,2023-01-11 20:58:34.139417,view,C00069,Aarav,Lefevre,aara****2.e***@nl,+31*******192,NL,Rotterdam,Sv,False,Bronze,0,,0,,web,social,,False,PLU-1072,Cupid Plush v3,Plush,General,HeartHaven,False,39.97,0.12,35.17,Partner,standard,48,,,False,NL,NOK,regular
EVT-003908,2023-01-11 23:08:40.245325,view,C01556,Fleur,Patel,fleu****l.e***@com,+16*******669,US,Austin,It,True,Bronze,352,,0,,web,app,,False,PLU-1066,Giant Teddy Bear v2,Plush,General,CuddleNest,False,31.95,0.15,27.16,Partner,standard,48,,,False,US,EUR,regular
EVT-002729,2023-01-11 23:25:39.189647,view,C01038,Lucas,Patel,luca****2.e***@jp,+81*******194,JP,Tokyo,Pl,True,Gold,0,,0,,web,web,,False,JEW-1026,Silver Pendant Heart v2,Jewelry,General,LunaGems,True,285.03,0.03,276.48,Self,standard,48,,,False,JP,USD,regular
EVT-003987,2023-01-11 23:40:59.537733,purchase,C00298,Lucas,Silva,luca****a.e***@pl,+48*******855,PL,Warsaw,Es,True,Silver,0,,0,,app,web,CMP-916,False,JEW-1031,Couple Bracelet Set v2,Jewelry,General,AuroraLink,True,288.27,0.23,221.97,Parent,standard,48,invoice,3.0,False,PL,CNY,regular
EVT-006921,2023-01-12 03:31:48.843616,view,C01063,Léa,De Vries,lea.****2.e***@de,+49*******649,DE,Berlin,De,False,Silver,558,,0,,web,web,,False,CAR-1043,Pop-up Heart Card v4,Cards,General,PaperMuse,False,4.58,0.0,4.58,Colleague,two_hour,2,,,False,DE,BRL,regular
EVT-007860,2023-01-12 09:19:57.173750,purchase,C00837,Mei,Wang,mei.****2.e***@nl,+31*******423,NL,Utrecht,Ja,False,Silver,727,,0,,app,web,CMP-936,False,FLO-1017,Red Roses 12x v3,Flowers,Roses,BloomCraft,True,25.94,0.02,25.42,Parent,express,24,wallet,,True,NL,EUR,regular
EVT-008148,2023-01-12 14:33:51.342946,view,C01142,Yui,Suzuki,yui.****2.e***@za,+27*******124,ZA,Johannesburg,Es,False,Bronze,288,,0,,web,email,,False,CAR-1039,Premium Foil Card v5,Cards,General,Ink&Love,False,3.37,0.18,2.76,Partner,express,24,,,False,ZA,SEK,regular
EVT-008722,2023-01-13 06:14:30.611244,add_to_cart,C00239,Noa,Jansen,noa.****n.e***@no,+47*******259,NO,Bergen,Hi,True,Bronze,697,,0,,app,web,,True,FLO-1017,Red Roses 12x v3,Flowers,Roses,BloomCraft,True,25.94,0.14,22.31,Parent,same_day,8,,,False,NO,KRW,regular
EVT-002078,2023-01-13 07:28:57.918060,view,C01608,Sven,Suzuki,sven****2.e***@fr,+33*******647,FR,Marseille,Pl,True,Silver,0,,0,,web,web,CMP-266,False,EXP-1054,Gourmet Dinner v5,Experiences,Dinner,Epicurea,False,70.62,0.2,56.5,Partner,standard,48,,,False,FR,EUR,regular
EVT-005703,2023-01-13 11:27:02.113423,purchase,C01534,Fleur,Wang,fleu****1.e***@es,+34*******356,ES,Barcelona,Hi,True,Silver,0,,0,,web,web,CMP-860,True,GIF-1077,Universal Gift Card $50 v3,GiftCards,GiftCard,Giftly,False,50.0,0.06,47.0,Partner,express,24,wallet,4,False,ES,RON,regular
EVT-004985,2023-01-13 16:11:36.339250,add_to_cart,C01238,Amir,Romano,amir****1.e***@cn,+86*******762,CN,Beijing,Pl,False,Bronze,56,,0,,web,web,CMP-437,False,FLO-1022,Tulip Mix 20x v3,Flowers,General,PetalWorks,True,21.25,0.25,15.94,Colleague,two_hour,2,,,False,CN,KRW,regular
EVT-002231,2023-01-14 02:00:40.031194,purchase,C01830,Lucas,Müller,luca****r.e***@cn,+86*******424,CN,Guangzhou,Zh,True,Gold,0,,0,,web,web,,False,FLO-1023,Tulip Mix 20x v4,Flowers,General,PetalWorks,True,75.11,0.08,69.1,Partner,standard,48,wallet,3.0,False,CN,KRW,regular
EVT-004116,2023-01-14 03:00:49.048571,add_to_cart,C00737,Noah,Suzuki,noah****1.e***@com,+17*******659,US,Seattle,Pt,True,Bronze,0,,0,,app,web,CMP-606,False,FLO-1018,Red Roses 12x v4,Flowers,Roses,BloomCraft,True,47.32,0.1,42.59,Partner,express,24,,,False,US,KRW,regular
EVT-003977,2023-01-14 04:25:06.945674,view,C00342,Mei,Suzuki,mei.****1.e***@com,+13*******969,US,Chicago,Nl,True,Bronze,0,,0,,web,web,CMP-755,False,PER-1056,Eau de Romance v2,Perfume,General,AromaNova,True,121.38,0.12,106.81,Partner,standard,48,,,False,US,NOK,regular
EVT-005239,2023-01-14 04:36:21.591592,view,C01496,Aarav,Zhang,aara****1.e***@de,+49*******847,DE,Cologne,Nl,True,Silver,0,,0,,app,web,,False,CAR-1044,Pop-up Heart Card v5,Cards,General,PaperMuse,False,8.54,0.22,6.66,Parent,standard,48,,,False,DE,EUR,regular
EVT-007278,2023-01-14 06:03:14.236846,view,C01789,Liam,Johnson,liam****n.e***@in,+91*******471,IN,Mumbai,It,False,Bronze,733,,0,,web,web,,False,CHO-1007,Dark Cocoa 85% v3,Chocolate,Dark,ChocoForge,False,25.93,0.03,25.15,Friend,standard,48,,,False,IN,NOK,regular
EVT-006623,2023-01-14 15:59:47.932151,add_to_cart,C00374,Liam,Brown,liam****2.e***@mx,+52*******444,MX,Ciudad de México,Fr,False,Bronze,349,,0,,app,app,,False,EXP-1049,Spa Day for Two v5,Experiences,Spa,ZenPulse,False,67.45,0.0,67.45,Partner,standard,48,,,False,MX,PLN,regular
EVT-001938,2023-01-14 19:48:54.292765,view,C00400,Yui,Wang,yui.****2.e***@com,+12*******021,US,New York,It,False,Gold,0,,0,,app,email,,False,CAR-1037,Premium Foil Card v3,Cards,General,Ink&Love,False,3.35,0.16,2.81,Partner,standard,48,,,False,US,EUR,regular
EVT-008892,2023-01-15 02:11:29.343111,purchase,C01408,Amir,Lefevre,amir****e.e***@au,+61*******803,AU,Sydney,Pt,True,Silver,343,,0,,app,web,,False,PER-1059,Eau de Romance v5,Perfume,General,AromaNova,True,106.88,0.14,91.92,Self,same_day,8,wallet,,True,AU,JPY,regular
EVT-000358,2023-01-15 07:38:41.516275,add_to_cart,C00482,Wei,Tanaka,wei.****1.e***@sg,+65*******349,SG,Singapore,No,True,Gold,0,,0,,web,web,CMP-140,False,FLO-1021,Tulip Mix 20x v2,Flowers,General,PetalWorks,True,48.03,0.04,46.11,Parent,express,24,,,False,SG,INR,regular
EVT-002908,2023-01-15 08:24:16.422490,purchase,C01713,Noah,De Vries,noah****s.e***@se,+46*******941,SE,Gothenburg,It,True,Silver,0,,0,,web,web,CMP-204,False,EXP-1052,Gourmet Dinner v3,Experiences,Dinner,Epicurea,False,232.02,0.16,194.9,Partner,express,24,card,3.0,False,SE,GBP,regular
EVT-009442,2023-01-15 10:10:10.932365,view,C01581,Fleur,Wang,fleu****2.e***@cn,+86*******888,CN,Guangzhou,De,True,Silver,78,,0,,web,email,,False,PLU-1067,Giant Teddy Bear v3,Plush,General,CuddleNest,False,27.3,0.09,24.84,Friend,standard,48,,,False,CN,SGD,regular
EVT-002611,2023-01-15 20:49:58.205635,view,C00797,Mateo,Johnson,mate****n.e***@za,+27*******029,ZA,Johannesburg,No,True,Bronze,689,,0,,web,email,,False,CAR-1043,Pop-up Heart Card v4,Cards,General,PaperMuse,False,4.58,0.1,4.12,Parent,standard,48,,,False,ZA,EUR,regular
EVT-004807,2023-01-16 03:07:17.334739,add_to_cart,C01566,Lucas,Smith,luca****1.e***@dk,+45*******013,DK,Copenhagen,Nl,True,Silver,0,,0,,web,web,,False,PLU-1069,Giant Teddy Bear v5,Plush,General,CuddleNest,False,49.06,0.06,46.12,Partner,standard,48,,,False,DK,NOK,regular
EVT-000522,2023-01-16 11:05:36.074234,purchase,C01606,Sven,Johnson,sven****n.e***@de,+49*******661,DE,Berlin,Da,True,Silver,0,,0,,web,web,CMP-773,False,EXP-1045,Spa Day for Two v1,Experiences,Spa,ZenPulse,False,177.01,0.07,164.62,Self,same_day,8,card,3,False,DE,GBP,regular
EVT-004347,2023-01-16 17:21:12.801710,purchase,C01838,Lucas,De Vries,luca****1.e***@pl,+48*******961,PL,Katowice,No,False,Bronze,0,,0,,app,app,CMP-975,False,FLO-1019,Red Roses 12x v5,Flowers,Roses,BloomCraft,True,56.23,0.11,50.04,Colleague,standard,48,card,1,False,PL,CAD,regular
EVT-004264,2023-01-16 20:42:16.011924,purchase,C00325,Olivia,Kowalski,oliv****i.e***@au,+61*******574,AU,Brisbane,No,True,Bronze,44,,0,,web,web,CMP-275,False,JEW-1028,Silver Pendant Heart v4,Jewelry,General,LunaGems,True,73.42,0.06,69.01,Partner,standard,48,wallet,5,False,AU,ZAR,regular
