sale_id,product_id,customer_id,store_id,promotion_id,supplier_id,date_id,quantity_sold,unit_price,discount_amount,total_amount,cost_amount,profit_margin,payment_method,payment_token,payment_last4,iban_is_test,created_utc
SALE00019,P0018,C01685,S0118,PR004,SUP004,20250531,5,6.24,0.00,31.20,18.05,0.4215,card_token,tok_card_f8aed5bd9c5e,2222,false,2025-05-31T08:52:00Z
SALE00020,P0020,C00403,S0199,PR001,SUP009,20251024,6,7.48,0.00,44.88,27.06,0.3971,card_token,tok_card_eb98997f07fb,1881,false,2025-10-24T14:41:00Z
SALE00021,P0057,C00174,S0189,PR008,SUP001,20250531,3,4.37,0.00,13.11,8.22,0.3730,iban_token,tok_iban_IT30_TSTB_1427190694,,true,2025-05-31T18:57:00Z
SALE00022,P0015,C00720,S0019,PR010,SUP006,20250212,1,3.65,0.00,3.65,2.40,0.3425,wallet,tok_wallet_afccfdd5feca,,false,2025-02-12T16:56:00Z
SALE00023,P0002,C00485,S0026,PR013,SUP007,20251122,8,3.96,0.00,31.68,18.80,0.4066,card_token,tok_card_e5e7abbbbffb,2222,false,2025-11-22T19:15:00Z
SALE00024,P0042,C00199,S0030,PR011,SUP005,20250716,7,4.20,0.00,29.40,17.15,0.4167,card_token,tok_card_ed6afbd720be,4242,false,2025-07-16T14:53:00Z
SALE00025,P0032,C01309,S0073,PR008,SUP003,20251105,6,2.60,0.00,15.60,11.82,0.2423,card_token,tok_card_df2bbbd2e6ce,2222,false,2025-11-05T14:20:00Z
SALE00026,P0044,C00626,S0200,PR015,SUP004,20250212,6,3.28,0.00,19.68,13.02,0.3384,card_token,tok_card_deeaedb1fabb,4444,false,2025-02-12T19:32:00Z
SALE00027,P0055,C01726,S0170,PR010,SUP002,20251022,4,1.86,0.00,7.44,4.72,0.3656,iban_token,tok_iban_FR64_TSTB_2694978867,,true,2025-10-22T09:26:00Z
SALE00028,P0033,C00822,S0170,PR002,SUP003,20250901,5,2.63,0.00,13.15,9.35,0.2890,iban_token,tok_iban_FR69_TSTB_6773730715,,true,2025-09-01T14:43:00Z
SALE00029,P0051,C00815,S0200,,SUP005,20250528,4,3.23,0.00,12.92,7.60,0.4118,card_token,tok_card_46ade5dbfcde,4242,false,2025-05-28T12:10:00Z
SALE00030,P0037,C00211,S0165,PR009,SUP004,20250309,1,4.18,0.00,4.18,3.21,0.2321,card_token,tok_card_c0baa9471bec,4444,false,2025-03-09T08:33:00Z
SALE00031,P0044,C00142,S0125,PR002,SUP001,20260131,3,3.28,0.00,9.84,6.51,0.3384,card_token,tok_card_d9c26b9b1978,4444,false,2026-01-31T18:12:00Z
SALE00032,P0011,C00690,S0037,PR005,SUP003,20250628,1,7.67,0.00,7.67,4.48,0.4159,card_token,tok_card_c6fb7f7ade0d,2222,false,2025-06-28T18:14:00Z
SALE00033,P0024,C00126,S0116,PR009,SUP006,20260117,7,6.55,0.00,45.85,34.58,0.2458,iban_token,tok_iban_ES39_TSTB_0676126580,,true,2026-01-17T15:31:00Z
SALE00034,P0044,C01408,S0109,PR012,SUP005,20250619,8,3.28,0.00,26.24,17.36,0.3384,card_token,tok_card_6a1edf55ec2d,4242,false,2025-06-19T11:51:00Z
SALE00035,P0048,C01634,S0120,PR011,SUP005,20251209,4,3.55,0.00,14.20,10.76,0.2423,card_token,tok_card_089b93869716,4444,false,2025-12-09T17:32:00Z
SALE00036,P0001,C00036,S0184,PR009,SUP007,20250809,4,2.32,0.00,9.28,5.44,0.4138,card_token,tok_card_b9a1b24d2cbf,0000,false,2025-08-09T17:00:00Z
SALE00037,P0035,C01261,S0012,PR003,SUP004,20250218,2,5.90,0.00,11.80,7.78,0.3407,wallet,tok_wallet_82d692cb54ef,,false,2025-02-18T18:49:00Z
SALE00038,P0008,C01925,S0180,PR005,SUP008,20250325,2,5.65,0.00,11.30,6.52,0.4230,wallet,tok_wallet_1e3e0cabda14,,false,2025-03-25T20:36:00Z
SALE00039,P0023,C00103,S0170,PR001,SUP002,20251109,6,6.10,0.00,36.60,24.96,0.3180,wallet,tok_wallet_bb7c1e0daddc,,false,2025-11-09T09:25:00Z
SALE00040,P0056,C00249,S0018,PR001,SUP006,20250105,3,4.90,0.00,14.70,8.58,0.4163,card_token,tok_card_68e1f30e14ec,4242,false,2025-01-05T09:40:00Z
SALE00041,P0019,C01672,S0151,PR005,SUP009,20250618,4,4.88,0.00,19.52,12.76,0.3463,card_token,tok_card_bf8c067e310c,4444,false,2025-06-18T16:24:00Z
SALE00042,P0029,C01461,S0132,PR004,SUP007,20250317,1,4.84,0.00,4.84,2.86,0.4091,card_token,tok_card_da208a72fbbd,4444,false,2025-03-17T20:39:00Z
SALE00043,P0041,C01734,S0134,PR011,SUP001,20250127,8,4.77,0.00,38.16,25.04,0.3438,card_token,tok_card_ba0fefcba168,4242,false,2025-01-27T14:49:00Z
SALE00044,P0022,C01562,S0059,PR015,SUP006,20250804,2,5.17,2.07,8.27,7.52,0.0907,card_token,tok_card_96ed5b19ef0a,0000,false,2025-08-04T15:58:00Z
SALE00045,P0060,C01096,S0069,PR011,SUP007,20250528,6,3.34,0.00,20.04,15.24,0.2395,iban_token,tok_iban_IT78_TSTB_1901435677,,true,2025-05-28T18:25:00Z
SALE00046,P0031,C01166,S0005,PR010,SUP006,20250813,8,3.39,0.00,27.12,19.04,0.2979,iban_token,tok_iban_IT81_TSTB_9784817357,,true,2025-08-13T12:34:00Z
SALE00047,P0021,C01550,S0082,PR004,SUP005,20251226,5,1.77,0.00,8.85,5.70,0.3559,card_token,tok_card_5cf2caa0d172,2222,false,2025-12-26T20:55:00Z
SALE00048,P0054,C00662,S0024,PR006,SUP003,20260216,1,4.90,0.00,4.90,2.89,0.4102,card_token,tok_card_ec21d6cb0cac,0000,false,2026-02-16T12:58:00Z
SALE00049,P0033,C01469,S0051,PR010,SUP003,20251114,5,2.63,0.00,13.15,9.35,0.2890,card_token,tok_card_643acb1e91fe,2222,false,2025-11-14T17:25:00Z
SALE00050,P0027,C01522,S0126,,SUP008,20250210,8,5.52,0.00,44.16,29.36,0.3351,wallet,tok_wallet_b55200420afa,,false,2025-02-10T15:31:00Z
SALE00051,P0018,C00518,S0144,PR015,SUP007,20250319,3,6.24,0.00,18.72,10.83,0.4215,card_token,tok_card_f2a07cab10ce,1881,false,2025-03-19T13:03:00Z
SALE00052,P0060,C01140,S0003,PR013,SUP006,20260218,1,3.34,0.00,3.34,2.54,0.2395,card_token,tok_card_1a75fb88999e,2222,false,2026-02-18T12:21:00Z
SALE00053,P0028,C00889,S0164,PR007,SUP009,20260113,3,7.13,0.00,21.39,13.17,0.3843,wallet,tok_wallet_df71e0c049b6,,false,2026-01-13T14:40:00Z
SALE00054,P0026,C01822,S0092,PR004,SUP001,20250817,4,2.09,0.00,8.36,6.08,0.2727,wallet,tok_wallet_a8d9faa0f78f,,false,2025-08-17T18:48:00Z
SALE00055,P0045,C00567,S0056,PR006,SUP003,20250420,1,6.55,0.00,6.55,4.22,0.3557,iban_token,tok_iban_ES15_TSTB_8929054779,,true,2025-04-20T12:58:00Z
SALE00056,P0028,C00073,S0063,PR002,SUP009,20250310,2,7.13,0.00,14.26,8.78,0.3843,iban_token,tok_iban_FR68_TSTB_5779709539,,true,2025-03-10T12:25:00Z
SALE00057,P0008,C00247,S0091,PR008,SUP007,20250327,4,5.65,0.00,22.60,13.04,0.4230,card_token,tok_card_749eccd9b6aa,1881,false,2025-03-27T13:09:00Z
SALE00058,P0007,C00958,S0040,,SUP008,20260204,5,4.52,0.00,22.60,14.90,0.3407,card_token,tok_card_edf0a031c642,2222,false,2026-02-04T08:51:00Z
SALE00059,P0054,C00248,S0009,PR006,SUP006,20251219,5,4.90,0.00,24.50,14.45,0.4102,iban_token,tok_iban_NL34_TSTB_6652464584,,true,2025-12-19T18:23:00Z
SALE00060,P0009,C00445,S0105,PR012,SUP007,20250118,8,6.89,0.00,55.12,35.12,0.3628,wallet,tok_wallet_eeeabbd8149e,,false,2025-01-18T14:08:00Z
SALE00061,P0010,C00573,S0132,PR003,SUP003,20250426,2,3.25,0.00,6.50,4.94,0.2400,card_token,tok_card_b32d8428bc32,4242,false,2025-04-26T19:02:00Z
SALE00062,P0036,C01338,S0086,PR006,SUP007,20250705,3,2.98,0.00,8.94,5.34,0.4027,iban_token,tok_iban_DE13_TSTB_1049848914,,true,2025-07-05T21:20:00Z
SALE00063,P0049,C01820,S0070,PR008,SUP004,20260204,3,5.09,0.00,15.27,8.94,0.4145,card_token,tok_card_6e4e9633b632,0000,false,2026-02-04T10:33:00Z
SALE00064,P0024,C00371,S0004,PR009,SUP008,20250409,6,6.55,0.00,39.30,29.64,0.2458,card_token,tok_card_6ed98c7a0f07,0000,false,2025-04-09T18:38:00Z
SALE00065,P0045,C01278,S0166,PR006,SUP001,20250702,5,6.55,0.00,32.75,21.10,0.3557,card_token,tok_card_54af2b4ae02c,0000,false,2025-07-02T11:57:00Z
SALE00066,P0028,C00850,S0125,PR013,SUP001,20250512,3,7.13,0.00,21.39,13.17,0.3843,iban_token,tok_iban_FR50_TSTB_8147046986,,true,2025-05-12T09:05:00Z
SALE00067,P0007,C00925,S0186,PR011,SUP006,20260103,6,4.52,0.00,27.12,17.88,0.3407,card_token,tok_card_cac2ca476ad6,0000,false,2026-01-03T21:28:00Z
SALE00068,P0046,C00525,S0188,PR013,SUP001,20251105,4,4.77,5.72,13.36,12.24,0.0838,card_token,tok_card_affbbf51eeac,4444,false,2025-11-05T08:50:00Z
SALE00069,P0022,C00623,S0137,PR006,SUP004,20260202,8,5.17,0.00,41.36,30.08,0.2727,iban_token,tok_iban_NL58_TSTB_3884111646,,true,2026-02-02T18:33:00Z
SALE00070,P0025,C00611,S0006,PR015,SUP006,20250227,6,6.99,0.00,41.94,28.62,0.3176,iban_token,tok_iban_NL28_TSTB_3452481808,,true,2025-02-27T18:03:00Z
SALE00071,P0052,C01367,S0053,PR003,SUP007,20250929,5,3.17,0.00,15.85,12.00,0.2429,wallet,tok_wallet_d9d47a13b4de,,false,2025-09-29T09:55:00Z
SALE00072,P0043,C00277,S0031,PR008,SUP003,20250724,2,6.14,0.00,12.28,8.50,0.3078,card_token,tok_card_d9ce6da2c3db,0000,false,2025-07-24T12:04:00Z
SALE00073,P0023,C01318,S0081,PR014,SUP005,20250627,1,6.10,0.00,6.10,4.16,0.3180,card_token,tok_card_d5f4b81bbedd,1881,false,2025-06-27T09:23:00Z
SALE00074,P0039,C00654,S0110,PR014,SUP009,20250508,8,3.30,0.00,26.40,17.52,0.3364,wallet,tok_wallet_4aa68cfec77e,,false,2025-05-08T11:22:00Z
SALE00075,P0059,C01490,S0068,PR006,SUP007,20250120,2,5.84,0.00,11.68,8.76,0.2500,card_token,tok_card_ca7f3baadcf1,4242,false,2025-01-20T16:55:00Z
SALE00076,P0018,C01418,S0127,PR013,SUP005,20250318,8,6.24,0.00,49.92,28.88,0.4215,card_token,tok_card_ef7aa1f5b5c2,2222,false,2025-03-18T12:53:00Z
SALE00077,P0005,C00104,S0044,PR005,SUP006,20250312,5,3.05,0.00,15.25,9.20,0.3967,iban_token,tok_iban_NL64_TSTB_4946539013,,true,2025-03-12T08:10:00Z
SALE00078,P0058,C01595,S0047,PR005,SUP005,20250422,4,2.63,0.00,10.52,6.12,0.4183,card_token,tok_card_b3977d8a21fd,4444,false,2025-04-22T10:10:00Z
SALE00079,P0006,C00065,S0042,PR006,SUP005,20260214,5,4.61,0.00,23.05,16.25,0.2950,iban_token,tok_iban_IT23_TSTB_2627866364,,true,2026-02-14T15:28:00Z
SALE00080,P0010,C01999,S0197,PR001,SUP001,20250129,6,3.25,0.00,19.50,14.82,0.2400,wallet,tok_wallet_9ecb2ce7d516,,false,2025-01-29T16:03:00Z
SALE00081,P0055,C00496,S0114,,SUP009,20250419,4,1.86,0.00,7.44,4.72,0.3656,card_token,tok_card_f5b5fe0c2ffb,4444,false,2025-04-19T11:29:00Z
SALE00082,P0038,C00494,S0186,PR007,SUP001,20250124,4,7.04,0.00,28.16,19.36,0.3125,iban_token,tok_iban_FR56_TSTB_3292429078,,true,2025-01-24T17:45:00Z
SALE00083,P0041,C01605,S0188,PR014,SUP002,20250517,3,4.77,0.00,14.31,9.39,0.3438,card_token,tok_card_6cbee71ad4df,0000,false,2025-05-17T16:01:00Z
SALE00084,P0030,C01933,S0078,PR015,SUP001,20250528,1,4.47,0.00,4.47,2.89,0.3535,card_token,tok_card_3ba5efbbee68,2222,false,2025-05-28T11:20:00Z
SALE00085,P0042,C00503,S0149,PR015,SUP007,20250703,1,4.20,0.00,4.20,2.45,0.4167,iban_token,tok_iban_NL42_TSTB_3345507441,,true,2025-07-03T15:41:00Z
SALE00086,P0058,C00482,S0006,PR011,SUP008,20251010,7,2.63,0.00,18.41,10.71,0.4183,iban_token,tok_iban_IT95_TSTB_1082305535,,true,2025-10-10T16:04:00Z
SALE00087,P0029,C01156,S0053,PR002,SUP005,20250814,5,4.84,0.00,24.20,14.30,0.4091,card_token,tok_card_7088361ebf1d,2222,false,2025-08-14T21:06:00Z
SALE00088,P0010,C00352,S0012,PR015,SUP006,20250827,8,3.25,0.00,26.00,19.76,0.2400,iban_token,tok_iban_ES26_TSTB_0337777909,,true,2025-08-27T18:42:00Z
SALE00089,P0009,C01485,S0014,,SUP008,20250430,5,6.89,0.00,34.45,21.95,0.3628,iban_token,tok_iban_IT40_TSTB_0334579763,,true,2025-04-30T10:10:00Z
SALE00090,P0020,C01180,S0162,PR008,SUP005,20250923,2,7.48,0.00,14.96,9.02,0.3971,iban_token,tok_iban_ES82_TSTB_4646211692,,true,2025-09-23T16:33:00Z
SALE00091,P0030,C01769,S0047,PR003,SUP009,20250406,8,4.47,0.00,35.76,23.12,0.3535,card_token,tok_card_34f7eea9ebf1,1881,false,2025-04-06T11:30:00Z
SALE00092,P0008,C00518,S0192,PR011,SUP009,20260211,3,5.65,0.00,16.95,9.78,0.4230,wallet,tok_wallet_c113cb2adc2f,,false,2026-02-11T21:39:00Z
SALE00093,P0040,C00673,S0138,PR001,SUP004,20251020,5,3.85,0.00,19.25,11.70,0.3922,iban_token,tok_iban_ES33_TSTB_4498975417,,true,2025-10-20T17:59:00Z
SALE00094,P0044,C00768,S0011,PR005,SUP003,20250801,6,3.28,0.00,19.68,13.02,0.3384,card_token,tok_card_e347f55feea1,1881,false,2025-08-01T20:06:00Z
SALE00095,P0023,C00882,S0043,PR004,SUP006,20251213,4,6.10,2.44,21.96,16.64,0.2423,wallet,tok_wallet_ae9d62bf0d88,,false,2025-12-13T15:47:00Z
SALE00096,P0059,C01229,S0001,PR013,SUP007,20251118,5,5.84,0.00,29.20,21.90,0.2500,card_token,tok_card_defe7ec08679,2222,false,2025-11-18T19:37:00Z
SALE00097,P0032,C01292,S0099,PR009,SUP007,20250204,3,2.60,1.95,5.85,5.91,-0.0103,card_token,tok_card_fc4ef044a0ef,4444,false,2025-02-04T21:24:00Z
SALE00098,P0046,C01514,S0023,PR003,SUP003,20250217,3,4.77,0.00,14.31,9.18,0.3585,card_token,tok_card_d3fe1de317ca,4242,false,2025-02-17T15:34:00Z
SALE00099,P0028,C00859,S0150,PR012,SUP006,20250510,3,7.13,2.14,19.25,13.17,0.3158,iban_token,tok_iban_ES42_TSTB_2478418655,,true,2025-05-10T15:01:00Z
SALE00100,P0058,C01528,S0015,PR014,SUP009,20251214,3,2.63,0.00,7.89,4.59,0.4183,card_token,tok_card_cecf534a0f54,0000,false,2025-12-14T10:30:00Z
SALE00101,P0033,C01397,S0102,PR002,SUP008,20250624,1,2.63,0.00,2.63,1.87,0.2890,iban_token,tok_iban_ES25_TSTB_1319928790,,true,2025-06-24T14:18:00Z
SALE00102,P0041,C01995,S0070,PR015,SUP008,20251028,1,4.77,0.00,4.77,3.13,0.3438,card_token,tok_card_d2f61e7cb0f4,4242,false,2025-10-28T19:42:00Z
SALE00103,P0039,C01844,S0073,PR007,SUP003,20260127,2,3.30,0.00,6.60,4.38,0.3364,card_token,tok_card_bb64e9fbe2d5,4444,false,2026-01-27T16:05:00Z
SALE00104,P0003,C00985,S0029,PR009,SUP008,20250927,5,3.33,0.00,16.65,11.80,0.2913,iban_token,tok_iban_FR78_TSTB_9878692670,,true,2025-09-27T21:00:00Z
SALE00105,P0043,C00544,S0033,PR007,SUP005,20250423,8,6.14,0.00,49.12,34.00,0.3078,iban_token,tok_iban_IT13_TSTB_9819732179,,true,2025-04-23T19:19:00Z
SALE00106,P0053,C00618,S0150,,SUP005,20250422,5,2.77,0.00,13.85,8.50,0.3863,wallet,tok_wallet_fecdc68dbbce,,false,2025-04-22T19:18:00Z
SALE00107,P0026,C00497,S0166,PR007,SUP001,20250129,1,2.09,0.00,2.09,1.52,0.2727,card_token,tok_card_94ccfeb44dfa,0000,false,2025-01-29T17:45:00Z
SALE00108,P0044,C01882,S0050,PR013,SUP008,20250228,7,3.28,0.00,22.96,15.19,0.3384,card_token,tok_card_00a5bf3db90c,1881,false,2025-02-28T12:57:00Z
SALE00109,P0009,C01728,S0068,PR015,SUP005,20250905,4,6.89,0.00,27.56,17.56,0.3628,wallet,tok_wallet_69ffcb4404bc,,false,2025-09-05T08:02:00Z
SALE00110,P0054,C01216,S0148,PR003,SUP003,20250518,7,4.90,0.00,34.30,20.23,0.4102,iban_token,tok_iban_NL68_TSTB_5431221779,,true,2025-05-18T09:47:00Z
SALE00111,P0029,C00130,S0051,PR008,SUP001,20250111,1,4.84,0.00,4.84,2.86,0.4091,iban_token,tok_iban_DE36_TSTB_6851587426,,true,2025-01-11T12:33:00Z
SALE00112,P0057,C01177,S0063,PR003,SUP004,20251114,4,4.37,0.00,17.48,10.96,0.3730,card_token,tok_card_2f8c17f790a0,2222,false,2025-11-14T17:34:00Z
SALE00113,P0031,C01646,S0059,PR013,SUP003,20250303,4,3.39,0.00,13.56,9.52,0.2979,card_token,tok_card_fcfe607c1ba5,4444,false,2025-03-03T15:34:00Z
SALE00114,P0036,C00487,S0200,PR004,SUP003,20250825,2,2.98,0.00,5.96,3.56,0.4027,wallet,tok_wallet_fd48c053fa68,,false,2025-08-25T11:37:00Z
SALE00115,P0025,C00783,S0153,PR013,SUP003,20251009,3,6.99,0.00,20.97,14.31,0.3176,iban_token,tok_iban_FR78_TSTB_4281494624,,true,2025-10-09T15:11:00Z
SALE00116,P0008,C01179,S0046,PR002,SUP005,20260203,2,5.65,0.00,11.30,6.52,0.4230,wallet,tok_wallet_dfcf676e740c,,false,2026-02-03T21:04:00Z
SALE00117,P0053,C01415,S0071,PR008,SUP005,20260213,6,2.77,0.00,16.62,10.20,0.3863,card_token,tok_card_b7e0b9f500bb,2222,false,2026-02-13T14:03:00Z
SALE00118,P0039,C00029,S0154,PR004,SUP001,20250626,3,3.30,0.00,9.90,6.57,0.3364,iban_token,tok_iban_NL22_TSTB_9536219325,,true,2025-06-26T12:07:00Z
SALE00119,P0023,C00307,S0155,PR012,SUP008,20260223,5,6.10,0.00,30.50,20.80,0.3180,wallet,tok_wallet_049d18ada61d,,false,2026-02-23T15:23:00Z
SALE00120,P0043,C00812,S0090,PR006,SUP007,20260109,5,6.14,0.00,30.70,21.25,0.3078,card_token,tok_card_af2e99f5a2b4,2222,false,2026-01-09T10:10:00Z
SALE00121,P0051,C00551,S0075,PR005,SUP001,20250720,3,3.23,0.00,9.69,5.70,0.4118,card_token,tok_card_6ea7d5ac87aa,4444,false,2025-07-20T11:20:00Z
SALE00122,P0060,C00295,S0047,PR009,SUP008,20250324,8,3.34,0.00,26.72,20.32,0.2395,card_token,tok_card_634f2dca8b76,0000,false,2025-03-24T20:53:00Z
SALE00123,P0002,C00679,S0087,PR009,SUP003,20250305,1,3.96,0.00,3.96,2.35,0.4066,card_token,tok_card_813daebbbcc9,1881,false,2025-03-05T14:25:00Z
SALE00124,P0028,C00365,S0174,PR003,SUP004,20250331,7,7.13,0.00,49.91,30.73,0.3843,iban_token,tok_iban_DE98_TSTB_9193241978,,true,2025-03-31T19:51:00Z
SALE00125,P0036,C00402,S0048,PR003,SUP001,20260227,4,2.98,0.00,11.92,7.12,0.4027,iban_token,tok_iban_ES81_TSTB_9464185408,,true,2026-02-27T21:02:00Z
SALE00126,P0043,C00559,S0039,PR008,SUP009,20250314,3,6.14,0.00,18.42,12.75,0.3078,card_token,tok_card_4b8ec9f1dfe7,4444,false,2025-03-14T15:29:00Z
SALE00127,P0024,C01302,S0052,,SUP002,20250514,7,6.55,0.00,45.85,34.58,0.2458,card_token,tok_card_d93789530fbd,1881,false,2025-05-14T13:39:00Z
SALE00128,P0042,C01810,S0197,,SUP003,20250611,5,4.20,0.00,21.00,12.25,0.4167,iban_token,tok_iban_ES17_TSTB_1967468090,,true,2025-06-11T10:26:00Z
SALE00129,P0047,C00088,S0169,,SUP002,20260208,5,1.95,0.00,9.75,7.45,0.2359,card_token,tok_card_43366dfa6509,4444,false,2026-02-08T15:22:00Z
SALE00130,P0041,C00071,S0109,PR003,SUP005,20250221,3,4.77,0.00,14.31,9.39,0.3438,card_token,tok_card_7b3c24a1e92d,1881,false,2025-02-21T14:57:00Z
SALE00131,P0041,C00060,S0102,PR010,SUP001,20260109,4,4.77,0.00,19.08,12.52,0.3438,card_token,tok_card_eaffa537787d,4444,false,2026-01-09T14:50:00Z
SALE00132,P0015,C01266,S0062,PR006,SUP002,20260109,3,3.65,0.00,10.95,7.20,0.3425,wallet,tok_wallet_e89dd3b8f4ea,,false,2026-01-09T09:56:00Z
SALE00133,P0052,C01623,S0117,PR003,SUP003,20250823,4,3.17,0.00,12.68,9.60,0.2429,card_token,tok_card_fda39adcaabf,2222,false,2025-08-23T12:14:00Z
SALE00134,P0051,C01942,S0081,PR004,SUP006,20250313,8,3.23,0.00,25.84,15.20,0.4118,card_token,tok_card_13c6accb5aeb,1881,false,2025-03-13T10:57:00Z
SALE00135,P0033,C01670,S0044,PR004,SUP003,20250320,4,2.63,0.00,10.52,7.48,0.2890,card_token,tok_card_552e8a22faa9,1881,false,2025-03-20T17:16:00Z
SALE00136,P0043,C01877,S0082,,SUP002,20250221,5,6.14,0.00,30.70,21.25,0.3078,card_token,tok_card_e833f6767ad3,4444,false,2025-02-21T19:22:00Z
SALE00137,P0032,C00493,S0120,PR008,SUP002,20250113,1,2.60,0.00,2.60,1.97,0.2423,card_token,tok_card_d39beb8efb7d,4444,false,2025-01-13T08:25:00Z
SALE00138,P0046,C00701,S0121,PR009,SUP002,20250318,5,4.77,0.00,23.85,15.30,0.3585,card_token,tok_card_9ccdee8bd460,0000,false,2025-03-18T14:48:00Z
SALE00139,P0045,C00368,S0150,,SUP008,20250706,5,6.55,0.00,32.75,21.10,0.3557,card_token,tok_card_51fbdb4a0f0a,4242,false,2025-07-06T13:54:00Z
SALE00140,P0042,C00872,S0175,PR003,SUP009,20250323,4,4.20,0.00,16.80,9.80,0.4167,iban_token,tok_iban_ES94_TSTB_6412786774,,true,2025-03-23T08:38:00Z
SALE00141,P0007,C01682,S0182,PR013,SUP001,20250824,2,4.52,0.00,9.04,5.96,0.3407,iban_token,tok_iban_IT11_TSTB_7078475249,,true,2025-08-24T17:04:00Z
SALE00142,P0021,C01071,S0072,PR010,SUP009,20250508,2,1.77,0.00,3.54,2.28,0.3559,card_token,tok_card_83bab5d289e8,4444,false,2025-05-08T12:47:00Z
SALE00143,P0021,C00707,S0080,PR012,SUP007,20250928,3,1.77,0.00,5.31,3.42,0.3559,iban_token,tok_iban_FR71_TSTB_7671062837,,true,2025-09-28T16:43:00Z
SALE00144,P0058,C01775,S0138,PR009,SUP006,20251219,7,2.63,0.00,18.41,10.71,0.4183,iban_token,tok_iban_NL22_TSTB_9066816849,,true,2025-12-19T14:45:00Z
SALE00145,P0011,C00102,S0117,PR008,SUP006,20251013,3,7.67,0.00,23.01,13.44,0.4159,wallet,tok_wallet_ee2e0eeefbfa,,false,2025-10-13T08:59:00Z
SALE00146,P0039,C01969,S0016,PR012,SUP009,20250930,3,3.30,0.00,9.90,6.57,0.3364,iban_token,tok_iban_NL23_TSTB_5469250738,,true,2025-09-30T08:29:00Z
